,titulo
3951,reprovei matérias
3958,oportunidade estágio ti secretaria planejamento finanças rn seplan
3961,ingresso ciclo
3963,solicitação dispensa disciplinas proficiência cronograma links
3976,convite participar pesquisa usando software edição vídeos
3977,seleção bolsista técnico administrativo instituto medicina tropical
3980,seleção bolsa
3983,vaga estágio secretaria planejamento finanças rn seplan
3984,vaga estágio imediato
3986,feliz ano
3990,oportunidade bolsa
3991,professor definir
3993,recesso secretaria ppgite
3994,turmas professores
4003,residência ti
4004,disciplina professor informações imd tópicos especiais inovação
4021,divulgação resultado eleição coordenação bcc
4022,processo eleitoral representante discente colegiado curso edital ppgti
4026,ete eleição coordenação bcc hoje
4027,ete eleição coordenação bcc
4028,formandos
4031,evento vii workshop npitiimd
4034,bolsa secretaria inclusão acessibilidade
4036,evento hackathon inclusão acessibilidade ufrn
4037,estágio dataprev
4038,curso shell script
4042,evento wie day papo acadêmico
4043,vaga uxui designer
4044,homologação inscrições coordenador vice bcc
4045,vagas desenvolvimento software remoto
4047,edb ii lp ii
4050,oportunidade trabalho
4051,enade
4052,pesquisaufrninstituto
4053,oportunidade bolsa técnico dpp ufrn
4054,imd desenvolvimento dispositivos móveis
4065,repassando oportunidade analista sistemasdesenvolvedor ruby on rails
4066,evento extensao adageo summit school on data science based geophysics
4067,seleção bolsistas técnico administrativo laboratórios estudos
4074,acesso gravações seminario putação
4076,uso laboratórios estudo imd agendados via aplicativo
4083,alunos turma itp horario n
4084,abertura vagas fmc itp
4085,convite oficina trajetória acadêmica hábitos estudos
4092,matrícula extraordinária
4100,prazo solicitação permuta turno
4104,convite gorn
4106,requerimento proficiência
4112,prazo realização rematricula adiado hoje
4113,planos curso aprovados
4119,turmas abertas
4126,indeferimento materia
4163,processamento matrícula matriculado indeferido aconteceu
4164,vaga programador júnior
4165,disciplinas equivalentes obrigatórias ofertadas dimap
4167,quantidade insuficiente vagas disciplinas
4180,dúvidas turmas linguagem programação imd
4184,vaga técnico ti
4186,formandos
4189,oportunidade bolsa alunos graduação projeto sigsaude imdufrn
4190,inscrições times maratona programação saiba maissaiba ma
4192,edital mobilidade virtual andifes inscrições bloco bloco
4197,formulários dispensa disciplinas
4229,oportunidade emprego técnico ti
4232,previsão divulgação planos curso
4237,planos cursos bcc ênfase bticomputação
4238,eleição representação discente
4241,inclusão imd ciências optativa
4243,grupos telegram estudantes cc
4245,imd tópicos especiais internet coisas d graduação
4247,trancamento programa posteriori
4256,divulgação oportunidade bolsa pesquisa projeto
4259,solicitações proficiência imd práticas leitura escrita português ii
4267,urgente oportunidade bolsa ic
4268,bolsa técnico enviar email amanhã
4269,maratona sebraeufrn empreendedorismo inovação
4271,convite participação pesquisa questionário
4273,oportunidade bolsa técnico centro tecnologia
4274,pesquisa alunos pagaram vga ajude melhoria
4275,oportunidade bolsa alunos graduação
4276,oportunidade emprego laniaq várias vagas aberto
4286,solicitação ponentes bcc bticomputação
4299,cargos desenvolvedores surfmappers
4300,oportunidades startup natal
4301,permuta turno
4302,algum formulário verificar demanda disciplinas semestre
4304,bolsa ic remunerada assumir bolsa remunerada
4305,ganhe experiência dev voluntário ong acalanto conteúdo
4306,oportunidades bolsas ic
4307,pesquisa jovens empresas diversidades
4308,vaga bolsista nacufrn
4309,divulgando seleção bolsa ic controle governamental justiça federal
4310,voluntário ic pesquisa engenharia engajada extensão universitária contribuições ensino
4311,seleção bolsa iniciação científica remunerada
4312,solicitações proficiência imd linguagem programação i
4314,existe algum alunos formandos semestre
4320,seleção bolsa ic remunerada
4321,solicitações proficiência imd banco dados
4327,solicitações proficiência imd prática leitura escrita inglês
4330,solicitações proficiência imd inglês básico
4333,edital seleção mestrado profissional tecnologia informação mpti ppgti
4334,questionário retorno modalidade presencial
4340,bolsa lais
4342,seleção bolsista ic remuneradovoluntário
4343,oportunidade iniciação científica voluntária
4345,proposta reforma percurso disciplinas fmcn
4369,oportunidade bolsa iniciação científica indicar interesse sigaa
4370,funciona aproveitamento disciplinas ciclo
4374,divulgação edital clt funpec
4375,solicitações proficiência fundamentos jogos digitais
4376,solicitações proficiência imd fundamentos matemáticos computação i
4377,solicitações proficiência imd redes computadores
4378,solicitações proficiência imd introdução técnicas programação
4379,solicitações proficiência imd desenvolvimento sistemas web i
4380,solicitações proficiência imd linguagem programação ii
4381,solicitações proficiência imd estrutura dados básicas i
4382,solicitações proficiência imd sistemas operacionais
4383,solicitações proficiência imd estruturas dados básicas ii
4384,solicitações proficiência imd desenvolvimento sistemas web ii
4385,solicitações proficiência imd arquitetura computadores
4386,reingresso ciclo ciência computação engenharia software
4387,oportunidade estágio home office gdo data plataform
4389,vaga dev backend django
4392,resultado eleições coordenação bes
4393,ete hoje eleição coordenação bes
4396,homologação chapas processo eleitoral coordenação bes
4397,divulgação evento seleção estagiários visagio
4398,plano ação trienal cursos graduação live dia
4400,oportunidade estágio
4401,debates melhorias fmc
4405,conexão tech fundação estudar
4406,oportunidade emprego desenvolvedor junior
4407,solicitação mudança ênfaseestrutura curricular
4415,formulário corpo discente bcc bti pretende ingressar bcc
4417,live nacional maratona programação
4418,imd promove ª edição cine metrópole
4423,recepção ingressantes alunos bcc
4425,inscrições mestrado doutorado ppgeec amanhã
4431,dispensas disciplinas semestre
4432,proficiênciaaproveitamento disciplinas
4444,contratação professor disciplina imd análise combinatória
4450,ferramentas disciplina imd matemática elementar
4459,professor disciplina desenvolvimento dispositivos móveis n
4461,ênfase bti
